iter	MultiClass
0	1.076659394
1	1.056301699
2	1.037146929
3	1.019345324
4	1.002824135
5	0.9872821994
6	0.9727823212
7	0.9590597688
8	0.9462679332
9	0.9341811498
10	0.9229378626
11	0.9123141132
12	0.902220584
13	0.8928171195
14	0.8839104323
15	0.875374933
16	0.8674355947
17	0.8598437488
18	0.8526125233
19	0.8457367501
20	0.8391562052
21	0.8330419884
22	0.8270821972
23	0.8216021961
24	0.816433231
25	0.8115447301
26	0.8068874449
27	0.8024818897
28	0.7982794933
29	0.7941623012
30	0.7902384046
31	0.7866470311
32	0.7830897817
33	0.7797064741
34	0.7764902115
35	0.7735480894
36	0.7706072814
37	0.7678584814
38	0.765258493
39	0.762819625
40	0.760467264
41	0.7581170118
42	0.7560367454
43	0.7539439386
44	0.7520366519
45	0.7502152639
46	0.7483715442
47	0.7464292914
48	0.7448206368
49	0.7431545227
50	0.7417331315
51	0.7403567923
52	0.738982546
53	0.7376371739
54	0.7364283841
55	0.7352520015
56	0.7340553633
57	0.7329915192
58	0.7318454521
59	0.7308680875
60	0.7298008319
61	0.7288709606
62	0.7279262387
63	0.7270754617
64	0.7262362867
65	0.7254855753
66	0.7247762462
67	0.7240783664
68	0.7233479336
69	0.7226248397
70	0.7220063644
71	0.7214481661
72	0.7209850231
73	0.7204682852
74	0.7199704402
75	0.7194228626
76	0.7189317985
77	0.7185488442
78	0.7181308221
79	0.717720442
80	0.7173289166
81	0.7168860123
82	0.7164388551
83	0.7160952839
84	0.7157966841
85	0.7153689603
86	0.7150867835
87	0.7147980176
88	0.7145162278
89	0.7142574376
90	0.7139661949
91	0.713654853
92	0.7133934678
93	0.7131080612
94	0.7128058326
95	0.7124884408
96	0.712270601
97	0.7121112724
98	0.7118912856
99	0.7117066177
100	0.7115170367
101	0.711332045
102	0.7110776382
103	0.7109730336
104	0.7108720052
105	0.7106439015
106	0.7105026635
107	0.7103297311
108	0.7102208528
109	0.7100216551
110	0.7098380485
111	0.7097330074
112	0.7096062471
113	0.7095171396
114	0.7093639217
115	0.7092467185
116	0.7091253944
117	0.7089874975
118	0.708894881
119	0.7088288913
120	0.7087857848
121	0.7086949132
122	0.7086315259
123	0.708503319
124	0.7083809658
125	0.7083243096
126	0.7081903432
127	0.7081217074
128	0.7079962081
129	0.7079087189
130	0.7078573731
131	0.7077659398
132	0.7076872109
133	0.7076240706
134	0.7075441531
135	0.7074798033
136	0.7073769727
137	0.7072527378
138	0.7072072151
139	0.7071589351
140	0.707026656
141	0.7069966725
142	0.7069491656
143	0.7069176105
144	0.7068806902
145	0.7068602518
146	0.7067929739
147	0.7067537671
148	0.7066701814
149	0.7066005762
150	0.7065218837
